ZIP,POP
17250,34
17251,111
17252,3844
17253,281
17254,80
17255,1114
17256,186
17257,29524
17260,1123
17261,277
17262,1455
17263,573
17264,2423
17265,667
17266,507
17267,2697
17268,29374
17270,85
17271,259
17272,376
17301,4479
17302,2431
17304,2736
17306,353
17307,5854
17309,2162
17311,193
17313,10907
17314,6304
17315,26610
17316,8408
17317,649
17318,455
17319,11440
17320,7861
17321,2347
17322,5705
17324,4549
17325,28391
17327,7590
17329,2599
17331,51893
17339,6930
17340,11083
17343,35
17344,3567
17345,7551
17347,6644
17349,7183
17350,13019
17352,1348
17353,3410
17355,259
17356,21302
17360,7150
17361,6315
17362,13040
17363,9476
17364,3474
17365,2462
17366,5472
17368,7539
17370,5664
17371,216
17372,4075
17401,17100
17402,38078
17403,40216
17404,35899
17406,23651
17407,2292
17408,23778
17501,4425
17502,2677
17505,1742
17507,117
17508,485
17509,4822
17512,18027
17516,4469
17517,16745
17518,1615
17519,6762
17520,4691
17522,34163
17527,6134
17529,4866
17532,2925
17535,2703
17536,2987
17538,6669
17540,10875
17543,45051
17545,21792
17547,7377
17550,953
17551,11538
17552,20071
17554,7877
17555,7547
17557,14668
17560,4560
17562,4640
17563,4094
17565,2675
17566,12468
17569,5834
17570,117
17572,4671
17576,272
17578,7438
17579,6236
17581,775
17582,2266
17584,10585
17601,52552
17602,50417
17603,64242
17606,413
17701,43218
17702,10384
17721,1579
17723,50
17724,4740
17727,74
17728,4972
17729,63
17730,229
17731,238
17737,6604
17739,32
17740,12407
17742,46
17744,2996
17745,18397
17747,3426
17748,186
17749,286
17750,176
17751,7169
17752,4595
17754,12404
17756,11978
17758,981
17760,648
17762,469
17763,178
17764,2294
17765,1236
17767,170
17768,336
17771,3194
17772,2377
17774,1388
17776,264
17777,7211
17778,161
17779,386
17801,15701
17810,5803
17812,1258
17813,2074
17814,4899
17815,29764
17820,5616
17821,18402
17822,0
17823,1258
17824,3889
17827,672
17829,244
17830,1913
17832,803
17834,3374
17835,415
17836,217
17837,19660
17840,598
17841,4926
17842,8625
17844,10296
17845,2170
17846,3912
17847,11572
17850,680
17851,7405
17853,3363
17855,1031
17856,3161
17857,7306
17859,2807
17860,2633
17861,169
17862,527
17864,2206
17865,128
17866,10297
17867,127
17868,1135
17870,15407
17872,9202
17876,1919
17878,1443
17880,128
17881,1424
17884,201
17885,212
17886,1630
17887,227
17888,281
17889,2516
17901,22670
17920,338
17921,7321
17922,4772
17923,438
17925,364
17929,1554
17930,387
17931,8751
17933,135
17934,395
17935,1595
17936,821
17938,2308
17941,772
17943,113
17944,136
17945,188
17946,146
17948,4677
17949,222
17951,238
17952,274
17953,427
17954,4460
17957,299
17959,1362
17960,4114
17961,6590
17963,9043
17964,801
17965,1989
17967,2488
17968,259
17970,3105
17972,11308
17974,281
17976,6644
17978,286
17979,197
17980,3037
17981,2713
17982,452
17983,1543
17985,1204
18011,5580
18013,18037
18014,11660
18015,33447
18016,0
18017,39453
18018,31304
18020,20393
18030,610
18031,10622
18032,9399
18034,9186
18035,29
18036,13942
18037,7806
18038,2846
18040,16586
18041,5252
18042,42299
18045,26881
18046,0
18049,17578
18051,3429
18052,27678
18053,2182
18054,4653
18055,11742
18056,916
18058,10056
18059,973
18062,25769
18063,391
18064,26396
18066,6404
18067,17879
18068,0
18069,7973
18070,922
18071,10150
18072,6550
18073,10745
18074,5836
18076,2882
18077,2349
18078,7621
18079,751
18080,11211
18081,251
18083,408
18085,1032
18086,841
18087,942
18088,8649
18091,5385
18092,3192
18101,4720
18102,49497
18103,46393
18104,44908
18105,31
18106,7265
18109,17794
18195,0
18201,26983
18202,11853
18210,7614
18211,1115
18212,121
18214,1908
18216,1289
18218,2245
18219,1554
18220,260
18221,212
18222,9484
18223,186
18224,6134
18225,249
18229,8867
18230,88
18231,487
18232,3796
18234,171
18235,19188
18237,3343
18239,423
18240,3862
18241,769
18242,130
18244,284
18245,264
18246,270
18248,499
18249,3722
18250,2943
18251,17
18252,10491
18254,1073
18255,4509
18256,325
18301,29660
18302,17678
18321,1682
18322,2502
18323,111
18324,9229
18325,2417
18326,3956
18327,594
18328,7377
18330,8452
18331,537
18332,2527
18333,554
18334,4691
18335,606
18336,4075
18337,14226
18340,208
18342,660
18343,4255
18344,3879
18346,2534
18347,2779
18349,312
18350,1612
18351,600
18352,823
18353,12730
18354,834
18355,1501
18356,109
18357,111
18360,27468
18370,969
18371,796
18372,2918
18403,6653
18405,2697
18407,13119
18411,21878
18413,191
18414,5216
18415,1222
18417,1018
18419,4786
18420,47
18421,4981
18424,5046
18425,1276
18426,4304
18427,121
18428,11898
18430,6
18431,11903
18433,6448
18434,3859
18435,835
18436,12610
18437,201
18438,1298
18439,494
18441,201
18443,436
18444,13817
18445,2536
18446,3156
18447,10692
18451,646
18452,4853
18453,978
18454,17
18455,105
18456,371
18457,178
18458,2445
18459,3
18460,115
18461,295
18462,305
18463,236
18464,1401
18465,1358
18466,17421
18469,252
18470,2283
18471,667
18472,7466
18473,670
18503,1247
18504,20525
18505,21581
18507,5154
18508,12606
18509,13851
18510,13375
18512,11666
18517,4980
18518,7965
18519,4659
18602,241
18603,19357
18610,4820
18612,18432
18614,2121
18615,2121
18616,583
18617,1766
18618,3843
18619,259
18621,6728
18622,130
18623,2645
18624,254
18625,404
18626,521
18628,214
18629,1749
18630,3146
18631,1180
18632,538
18634,13148
18635,3797
18636,1246
18640,16850
18641,6829
18642,3998
18643,12478
18644,7245
18651,8693
18653,211
18655,5625
18656,2238
18657,11720
18660,3732
18661,5299
18701,3449
18702,40090
18704,30441
18705,14683
18706,15885
18707,15891
18708,8772
18709,2914
18801,8076
18810,5911
18812,1557
18814,210
18816,123
18817,308
18818,1115
18821,1404
18822,3197
18823,187
18824,1422
18825,103
18826,1404
18828,339
18829,693
18830,598
18831,1180
18832,1791
18833,1888
18834,3506
18837,3134
18840,10440
18842,252
18843,189
18844,1933
18845,317
18846,1099
18847,5677
18848,8746
18850,2159
18851,755
18853,4179
18854,1576
18901,27851
18902,21557
18912,280
18913,44
18914,21182
18915,784
18917,2178
18920,232
18923,1197
18925,6692
18929,9570
18930,2881
18932,511
18935,20
18936,0
18938,14156
18940,28915
18942,2773
18944,25475
18947,6309
18950,215
18951,35203
18954,9453
18955,1624
18960,11898
18962,331
18964,14092
18966,37739
18969,15435
18970,693
18972,3386
18974,40543
18976,20681
18977,4172
18980,445
19001,17139
19002,32241
19003,13427
19004,9524
19006,21899
19007,20944
19008,20934
19009,840
19010,21572
19012,6328
19013,35134
19014,20900
19015,16809
19017,271
19018,23445
19020,54985
19021,10063
19022,3696
19023,22088
19025,5861
19026,30573
19027,20068
19029,4013
19030,11792
19031,4618
19032,6627
19033,8826
19034,5852
19035,3453
19036,12894
19038,31415
19040,20901
19041,6494
19043,2470
19044,16206
19046,17660
19047,34479
19050,27976
19053,26293
19054,16180
19055,14032
19056,15249
19057,17449
19060,11319
19061,20248
19063,35764
19064,24664
19066,5662
19067,52689
19070,6924
19072,9802
19073,19763
19074,5893
19075,7632
19076,6555
19078,11562
19079,9223
19081,9923
19082,41741
19083,36633
19085,8778
19086,11746
19087,32765
19090,18357
19094,4060
19095,7070
19096,13695
19102,5147
19103,24214
19104,53560
19106,12592
19107,14526
19109,0
19111,68113
19112,0
19113,96
19114,31668
19115,35346
19116,34747
19118,10884
19119,28192
19120,74060
19121,32385
19122,21666
19123,17351
19124,70304
19125,25850
19126,15656
19127,5760
19128,37644
19129,11275
19130,27093
19131,44723
19132,31378
19133,27102
19134,62087
19135,35427
19136,34741
19137,8347
19138,32766
19139,46397
19140,51766
19141,34701
19142,29078
19143,64630
19144,43884
19145,46052
19146,39282
19147,38472
19148,52259
19149,58055
19150,22299
19151,33343
19152,36379
19153,13006
19154,35098
19301,6375
19310,3072
19311,8999
19312,11618
19316,238
19317,9968
19319,655
19320,54617
19330,5351
19333,6911
19335,48962
19341,17572
19342,18843
19343,7810
19344,11988
19345,661
19348,23934
19350,11424
19352,11109
19355,26778
19358,820
19362,5845
19363,17274
19365,7431
19367,76
19372,1886
19373,4823
19374,1086
19375,0
19380,50956
19382,55036
19383,3122
19390,14684
19401,41897
19403,46592
19405,5250
19406,25105
19422,18852
19425,15950
19426,40720
19428,17222
19435,175
19436,711
19437,1122
19438,24780
19440,19350
19442,0
19444,10890
19446,56720
19453,1732
19454,28977
19456,537
19457,87
19460,42063
19462,15811
19464,46904
19465,17473
19468,26008
19472,10
19473,16426
19474,488
19475,11260
19477,128
19492,339
19501,1239
19503,1518
19504,4996
19505,3540
19506,7466
19507,3211
19508,15796
19510,8710
19511,137
19512,17048
19518,15566
19519,134
19520,5716
19522,14034
19523,390
19525,16598
19526,11256
19529,3321
19530,16116
19533,8059
19534,1979
19535,10
19536,459
19538,48
19539,4848
19540,11270
19541,4366
19542,104
19543,6141
19544,118
19545,608
19547,4417
19549,313
19550,549
19551,4844
19554,396
19555,3554
19559,419
19560,7886
19562,2257
19564,155
19565,8801
19567,5616
19601,33208
19602,16582
19604,28346
19605,19833
19606,35413
19607,23494
19608,22935
19609,10476
19610,15417
19611,10720
42101,1579075
